CategoryName,LastUpdateTime,LocationName,RecruitPostName
技术,2021年04月25日,深圳,18425-跨境业务测试工程师（深圳）
技术,2021年04月25日,深圳,15851-游戏语音合成方向研究员Game Text to Speech Researcher（深圳/洛杉矶）
技术,2021年04月25日,北京,29912-微视专项-AutoML工程（视频理解）（北京/深圳）
技术,2021年04月25日,北京,29912-3D人脸、人体算法研究员（北京\深圳\杭州）
技术,2021年04月25日,北京,29912-生成模型（GAN）算法研究员（北京\深圳\杭州）
技术,2021年04月25日,深圳,29912-视觉算法—拍摄特效与内容编辑（北京/深圳）
技术,2021年04月25日,深圳,38663-后台开发通用方向岗位
技术,2021年04月25日,深圳,38663-数据分析师（大湾区专项）
技术,2021年04月25日,北京,29912-微视专项-Automl算法（视频理解/NLP）（北京/深圳）
技术,2021年04月25日,北京,29912-3D视觉算法研究员（北京\深圳\杭州）
